date,subsidiary,activity,contract,team,equipment_id,hours_operated,km_driven,m3_moved,revenue,fuel_cost,labor_cost,maintenance_cost,overhead_cost,downtime_hours,incident_count,near_miss_count
2025-10-21,Bécar inc.,transport_copeaux,CTR-005,Équipe C,EQ-006,9.69,62.9,52.4,522.4,76.51,479.36,78.22,42.11,1.3,0,0
2025-10-21,Bécar inc.,construction_chemins,CTR-004,Équipe B,EQ-006,8.66,6.2,33.8,516.86,7.11,437.51,51.93,64.59,0.48,0,0
2025-10-21,Bécar inc.,transport_copeaux,CTR-002,Équipe A,EQ-006,8.74,205.8,138.5,1164.08,207.57,418.66,48.79,57.24,1.5,0,0
2025-10-21,Bécar inc.,transport_inter_usines,CTR-004,Équipe C,EQ-009,8.98,140.1,90.8,833.06,169.81,482.67,97.42,53.52,1.14,1,0
2025-10-21,Bécar inc.,transport_copeaux,CTR-003,Équipe C,EQ-006,7.42,151.8,69.0,743.52,160.86,474.58,40.21,52.51,0.0,0,0
2025-10-21,Bécar inc.,transport_copeaux,CTR-001,Équipe C,EQ-007,7.37,152.3,106.4,893.32,166.35,308.03,33.78,31.29,1.0,0,0
2025-10-22,Bécar inc.,transport_copeaux,CTR-004,Équipe C,EQ-010,7.44,207.4,68.5,864.2,212.68,364.16,32.65,47.28,0.22,0,0
2025-10-22,Bécar inc.,transport_copeaux,CTR-004,Équipe B,EQ-006,7.82,154.6,83.0,812.88,78.92,316.11,31.21,32.29,0.92,0,0
2025-10-22,Bécar inc.,chargement,CTR-002,Équipe A,EQ-010,6.32,5.2,86.7,419.72,5.38,371.13,17.24,39.67,0.79,0,0
2025-10-22,Bécar inc.,construction_chemins,CTR-005,Équipe C,EQ-006,8.42,12.1,41.0,512.3,12.99,368.9,73.13,50.14,1.69,0,0
2025-10-22,Bécar inc.,transport_inter_usines,CTR-002,Équipe C,EQ-008,6.33,156.6,50.6,660.86,221.38,317.91,22.34,25.96,0.85,0,0
2025-10-22,Bécar inc.,transport_copeaux,CTR-002,Équipe C,EQ-006,6.22,52.1,91.7,593.38,44.31,302.77,38.64,33.67,1.45,0,0
2025-10-22,Bécar inc.,transport_copeaux,CTR-002,Équipe B,EQ-002,7.9,286.1,88.3,1124.82,443.12,379.24,34.93,33.0,0.02,0,0
2025-10-22,Bécar inc.,construction_chemins,CTR-005,Équipe A,EQ-012,9.68,14.3,23.4,560.48,16.46,452.65,92.14,47.84,0.0,0,0
2025-10-22,Bécar inc.,construction_chemins,CTR-006,Équipe A,EQ-011,8.51,19.8,27.2,500.69,19.94,517.84,80.55,67.47,0.75,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-010,7.31,267.7,57.3,949.72,219.17,417.74,50.38,41.06,0.47,1,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-001,Équipe C,EQ-001,4.31,177.1,63.9,722.8,122.67,193.84,30.52,30.17,0.0,0,0
2025-10-23,Bécar inc.,chargement,CTR-001,Équipe C,EQ-005,9.8,8.2,166.8,741.44,9.07,455.04,72.77,58.69,0.74,0,0
2025-10-23,Bécar inc.,transport_inter_usines,CTR-002,Équipe C,EQ-001,11.38,128.8,77.8,799.4,76.96,537.98,103.69,84.6,0.02,0,0
